Rk,Gcar,Gtm,Date,Tm,Column1,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,Pos
1,2167,1,Apr 4,NYY,@,BOS,"L,7-9",CG,5,5,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2,0.2,0.4,0.6,4,1.25,0.045,1.35,0.0003,-0.11,3B
2,2168,2,Apr 6,NYY,@,BOS,"W,6-4",CG,5,5,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.2,0.2,0.4,0.6,4,1.34,0.054,1.37,0.0003,0.31,3B
3,2169,3,Apr 7,NYY,@,BOS,"W,3-1",CG(10),5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.133,0.133,0.267,0.4,4,1.56,-0.268,1.79,-0.0018,-2.22,3B
4,2170,4,Apr 9,NYY,@,TBR,"L,3-9",CG,4,4,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0.158,0.158,0.368,0.526,4,0.72,0.185,0.89,0.0014,1.08,3B
5,2171,5,Apr 10,NYY,@,TBR,"W,10-0",GS-9,5,4,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.217,0.25,0.391,0.641,4,0.75,-0.062,0.89,-0.0005,0.01,3B
6,2172,6,Apr 11,NYY,@,TBR,"W,7-3",CG,5,4,1,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0.259,0.31,0.481,0.792,4,0.95,0.183,1.17,0.0014,2.45,3B
7,2173,7,Apr 13,NYY,,LAA,"W,7-5",CG,5,5,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0.281,0.324,0.469,0.792,4,0.41,0.046,0.45,0.0003,1.12,3B
8,2174,8,Apr 14,NYY,,LAA,"L,3-5",CG,4,3,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0.257,0.316,0.429,0.744,4,1.18,-0.003,1.29,0,-0.36,3B
9,2175,9,Apr 15,NYY,,LAA,"W,6-2",CG,4,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.263,0.333,0.447,0.781,4,0.65,0.027,0.74,0.0002,0.29,3B
10,2176,10,Apr 16,NYY,,TEX,"W,5-1",CG(6),3,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.256,0.356,0.436,0.791,4,0.59,0.047,0.68,0.0003,0.35,3B
